variant,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44
base,0.0,0.0,0.1,0.1,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.0,0.0,0.1,0.2,0.1,0.5,0.0,0.1,0.5,0.5,0.3,0.5,0.6,0.8,0.7,0.2,0.3,0.0,0.0,0.1,0.5,0.8,1.0,0.1,0.6
dialect-AboriginalDialect,0.0,0.0,0.4,0.1,0.0,0.0,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.2,0.1,0.2,0.3,0.1,0.1,0.0,0.1,0.4,0.1,0.2,0.5,0.1,0.2,0.6,0.5,0.5,0.5,0.5,1.0,0.9,0.4,0.2,0.2,0.4,0.1,0.7,0.6,1.0,0.1,0.7
dialect-AfricanAmericanVernacular,0.0,0.0,0.2,0.3,0.0,0.0,0.1,0.0,0.0,0.1,0.0,0.0,0.1,0.0,0.1,0.2,0.0,0.2,0.1,0.0,0.0,0.0,0.1,0.1,0.7,0.0,0.0,0.4,0.5,0.6,0.5,0.6,0.9,0.9,0.4,0.2,0.2,0.5,0.1,0.6,0.9,1.0,0.1,0.6
dialect-AppalachianDialect,0.0,0.0,0.1,0.2,0.0,0.0,0.1,0.0,0.0,0.1,0.0,0.0,0.0,0.1,0.1,0.1,0.0,0.1,0.1,0.0,0.2,0.1,0.2,0.1,0.6,0.0,0.1,0.5,0.6,0.6,0.5,0.7,0.9,0.9,0.4,0.3,0.0,0.2,0.1,0.6,0.7,1.0,0.1,0.5
dialect-AustralianDialect,0.0,0.1,0.2,0.1,0.0,0.0,0.1,0.1,0.0,0.1,0.0,0.0,0.1,0.0,0.0,0.1,0.3,0.1,0.1,0.0,0.0,0.2,0.3,0.1,0.5,0.0,0.1,0.3,0.5,0.7,0.5,0.7,0.8,0.9,0.3,0.3,0.3,0.2,0.2,0.6,0.6,1.0,0.1,0.6
dialect-AustralianVernacular,0.0,0.0,0.2,0.1,0.0,0.2,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.3,0.0,0.2,0.1,0.0,0.0,0.0,0.1,0.0,0.6,0.0,0.1,0.3,0.7,0.2,0.5,0.6,0.8,0.8,0.4,0.3,0.3,0.2,0.1,0.6,0.8,0.9,0.1,0.4
dialect-BahamianDialect,0.0,0.0,0.3,0.4,0.0,0.0,0.1,0.2,0.0,0.1,0.1,0.0,0.1,0.2,0.2,0.3,0.2,0.1,0.2,0.0,0.2,0.1,0.2,0.2,0.6,0.0,0.1,0.5,0.5,0.6,0.7,0.5,1.0,0.8,0.4,0.5,0.3,0.4,0.1,0.6,0.7,0.9,0.4,0.6
dialect-BlackSouthAfricanDialect,0.1,0.0,0.2,0.1,0.0,0.0,0.1,0.2,0.0,0.1,0.0,0.0,0.0,0.2,0.1,0.4,0.2,0.3,0.1,0.0,0.0,0.2,0.1,0.2,0.6,0.1,0.2,0.5,0.4,0.5,0.5,0.5,0.9,0.9,0.4,0.4,0.4,0.4,0.1,0.7,0.7,1.0,0.2,0.5
dialect-CameroonDialect,0.0,0.1,0.1,0.1,0.1,0.0,0.1,0.0,0.0,0.0,0.2,0.0,0.1,0.0,0.1,0.4,0.0,0.1,0.2,0.0,0.1,0.1,0.2,0.1,0.5,0.0,0.0,0.5,0.5,0.6,0.5,0.6,1.0,0.8,0.4,0.3,0.3,0.3,0.1,0.6,0.8,1.0,0.3,0.5
dialect-CapeFlatsDialect,0.0,0.0,0.2,0.2,0.0,0.0,0.1,0.0,0.0,0.1,0.0,0.0,0.1,0.1,0.1,0.2,0.1,0.2,0.1,0.0,0.0,0.2,0.3,0.1,0.5,0.0,0.0,0.5,0.5,0.4,0.6,0.4,0.8,0.7,0.2,0.3,0.1,0.4,0.1,0.6,0.7,1.0,0.2,0.7
dialect-ChannelIslandsDialect,0.0,0.1,0.3,0.2,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.3,0.0,0.2,0.1,0.0,0.1,0.2,0.2,0.1,0.5,0.0,0.3,0.5,0.7,0.4,0.5,0.6,0.8,0.9,0.2,0.2,0.3,0.2,0.1,0.6,0.8,1.0,0.1,0.7
dialect-ChicanoDialect,0.0,0.0,0.2,0.1,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.2,0.1,0.0,0.0,0.2,0.1,0.1,0.5,0.0,0.0,0.3,0.4,0.3,0.5,0.6,0.9,0.8,0.3,0.3,0.0,0.2,0.1,0.6,0.8,1.0,0.1,0.5
dialect-ColloquialAmericanDialect,0.0,0.0,0.2,0.3,0.0,0.0,0.1,0.0,0.0,0.1,0.0,0.0,0.1,0.2,0.1,0.2,0.1,0.2,0.1,0.0,0.0,0.1,0.2,0.1,0.6,0.0,0.3,0.4,0.5,0.5,0.6,0.7,1.0,0.8,0.4,0.3,0.3,0.3,0.1,0.6,0.9,1.0,0.1,0.5
dialect-ColloquialSingaporeDialect,0.0,0.0,0.2,0.2,0.0,0.0,0.1,0.0,0.0,0.0,0.1,0.0,0.3,0.2,0.2,0.5,0.3,0.1,0.1,0.0,0.1,0.2,0.3,0.2,0.4,0.1,0.3,0.4,0.5,0.5,0.5,0.5,1.0,1.0,0.3,0.3,0.2,0.3,0.1,0.6,0.8,1.0,0.3,0.7
dialect-EarlyAfricanAmericanVernacular,0.0,0.0,0.1,0.2,0.0,0.0,0.1,0.1,0.1,0.2,0.0,0.0,0.0,0.2,0.1,0.2,0.0,0.2,0.2,0.0,0.0,0.1,0.1,0.1,0.5,0.0,0.2,0.4,0.6,0.3,0.5,0.6,0.9,0.8,0.2,0.3,0.2,0.5,0.1,0.6,0.8,1.0,0.1,0.5
dialect-EastAnglicanDialect,0.0,0.0,0.2,0.1,0.0,0.0,0.1,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.2,0.1,0.0,0.0,0.1,0.2,0.1,0.5,0.0,0.0,0.5,0.5,0.3,0.5,0.6,0.9,0.9,0.4,0.3,0.1,0.4,0.1,0.6,0.9,1.0,0.1,0.4
dialect-FalklandIslandsDialect,0.0,0.0,0.1,0.2,0.0,0.0,0.1,0.0,0.0,0.1,0.0,0.0,0.0,0.2,0.0,0.1,0.0,0.1,0.0,0.0,0.0,0.1,0.1,0.1,0.4,0.0,0.0,0.4,0.5,0.2,0.5,0.6,0.7,0.7,0.3,0.2,0.1,0.1,0.1,0.6,0.7,1.0,0.2,0.7
dialect-FijiAcrolect,0.0,0.0,0.2,0.2,0.0,0.0,0.1,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.2,0.1,0.0,0.0,0.3,0.2,0.1,0.6,0.1,0.1,0.4,0.4,0.5,0.5,0.6,1.0,0.8,0.4,0.2,0.3,0.5,0.1,0.6,0.9,1.0,0.1,0.7
dialect-FijiBasilect,0.1,0.0,0.4,0.3,0.2,0.0,0.1,0.2,0.1,0.1,0.2,0.1,0.1,0.2,0.1,0.2,0.2,0.1,0.3,0.1,0.3,0.5,0.2,0.2,0.5,0.0,0.0,0.4,0.4,0.6,0.6,0.5,1.0,0.9,0.6,0.3,0.1,0.3,0.1,0.6,1.0,0.9,0.4,0.7
dialect-GhanaianDialect,0.0,0.0,0.2,0.1,0.0,0.0,0.1,0.0,0.0,0.1,0.0,0.0,0.1,0.0,0.0,0.2,0.2,0.2,0.1,0.0,0.0,0.1,0.3,0.1,0.5,0.1,0.1,0.6,0.4,0.5,0.6,0.7,1.0,0.8,0.3,0.2,0.3,0.2,0.0,0.6,0.9,1.0,0.3,0.6
dialect-HongKongDialect,0.0,0.0,0.2,0.2,0.1,0.1,0.1,0.0,0.0,0.1,0.1,0.0,0.0,0.1,0.1,0.4,0.0,0.2,0.1,0.0,0.1,0.2,0.1,0.1,0.7,0.0,0.2,0.4,0.5,0.6,0.7,0.6,0.9,0.9,0.2,0.3,0.3,0.5,0.1,0.5,0.9,0.9,0.2,0.7
dialect-IndianDialect,0.1,0.0,0.2,0.2,0.0,0.1,0.2,0.2,0.0,0.1,0.0,0.0,0.1,0.3,0.1,0.3,0.1,0.1,0.1,0.0,0.1,0.2,0.2,0.1,0.6,0.0,0.1,0.4,0.6,0.5,0.7,0.7,0.9,0.8,0.3,0.4,0.3,0.4,0.2,0.7,0.9,1.0,0.4,0.8
dialect-IndianSouthAfricanDialect,0.0,0.0,0.1,0.5,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.2,0.1,0.1,0.5,0.1,0.2,0.1,0.1,0.0,0.2,0.3,0.1,0.5,0.1,0.1,0.6,0.5,0.2,0.5,0.6,0.8,0.9,0.6,0.3,0.4,0.4,0.1,0.7,0.7,1.0,0.2,0.8
dialect-IrishDialect,0.0,0.0,0.3,0.4,0.0,0.0,0.1,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.1,0.2,0.0,0.2,0.1,0.0,0.1,0.1,0.2,0.2,0.5,0.0,0.0,0.6,0.5,0.3,0.6,0.7,0.9,0.9,0.5,0.3,0.3,0.5,0.0,0.6,0.8,1.0,0.2,0.5
dialect-JamaicanDialect,0.0,0.0,0.3,0.4,0.0,0.0,0.1,0.1,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.4,0.0,0.2,0.1,0.0,0.0,0.1,0.2,0.1,0.6,0.0,0.2,0.6,0.5,0.5,0.5,0.5,0.9,0.9,0.4,0.3,0.1,0.3,0.1,0.6,0.8,1.0,0.1,0.6
dialect-KenyanDialect,0.1,0.0,0.2,0.1,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,0.3,0.1,0.1,0.1,0.0,0.0,0.3,0.3,0.1,0.6,0.0,0.0,0.5,0.3,0.4,0.5,0.6,1.0,0.7,0.3,0.4,0.2,0.3,0.1,0.7,0.9,0.9,0.4,0.5
dialect-LiberianSettlerDialect,0.0,0.1,0.1,0.2,0.0,0.0,0.2,0.0,0.0,0.1,0.0,0.0,0.0,0.1,0.1,0.2,0.1,0.2,0.1,0.0,0.0,0.1,0.2,0.1,0.7,0.0,0.2,0.5,0.6,0.6,0.5,0.6,0.8,0.8,0.3,0.3,0.1,0.5,0.1,0.5,1.0,1.0,0.1,0.6
dialect-MalaysianDialect,0.0,0.0,0.2,0.3,0.0,0.1,0.2,0.0,0.0,0.1,0.0,0.0,0.0,0.1,0.0,0.2,0.1,0.2,0.1,0.0,0.0,0.1,0.1,0.1,0.6,0.0,0.0,0.4,0.5,0.2,0.5,0.6,0.9,0.9,0.3,0.3,0.2,0.1,0.1,0.6,0.8,1.0,0.1,0.6
dialect-MalteseDialect,0.0,0.0,0.2,0.2,0.0,0.0,0.1,0.1,0.0,0.1,0.0,0.0,0.1,0.2,0.1,0.2,0.1,0.2,0.1,0.0,0.0,0.3,0.3,0.1,0.5,0.0,0.0,0.5,0.6,0.6,0.6,0.8,1.0,0.8,0.4,0.6,0.3,0.3,0.2,0.5,0.7,1.0,0.5,0.8
dialect-ManxDialect,0.0,0.0,0.2,0.2,0.2,0.1,0.2,0.2,0.0,0.1,0.1,0.0,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.1,0.2,0.1,0.3,0.1,0.6,0.0,0.0,0.3,0.5,0.6,0.5,0.7,1.0,0.9,0.6,0.4,0.0,0.5,0.2,0.5,0.7,0.9,0.4,0.5
dialect-NewZealandDialect,0.0,0.0,0.2,0.3,0.1,0.0,0.1,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.2,0.1,0.0,0.0,0.2,0.3,0.1,0.5,0.0,0.1,0.4,0.4,0.6,0.5,0.5,0.9,0.9,0.4,0.2,0.4,0.4,0.1,0.7,0.8,0.9,0.3,0.7
dialect-NewfoundlandDialect,0.0,0.0,0.3,0.5,0.1,0.0,0.1,0.2,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.3,0.3,0.1,0.1,0.0,0.1,0.4,0.4,0.1,0.4,0.1,0.1,0.3,0.5,0.5,0.7,0.7,0.8,1.0,0.4,0.3,0.1,0.4,0.2,0.6,0.8,1.0,0.4,0.6
dialect-NigerianDialect,0.0,0.0,0.1,0.2,0.1,0.0,0.2,0.0,0.0,0.0,0.1,0.1,0.1,0.0,0.1,0.1,0.1,0.2,0.1,0.0,0.0,0.2,0.3,0.1,0.6,0.0,0.1,0.5,0.5,0.2,0.5,0.6,0.9,0.8,0.3,0.2,0.1,0.2,0.1,0.6,0.9,1.0,0.3,0.4
dialect-NorthEnglandDialect,0.0,0.1,0.3,0.1,0.1,0.0,0.1,0.1,0.0,0.1,0.0,0.1,0.1,0.2,0.0,0.1,0.2,0.2,0.2,0.0,0.1,0.3,0.2,0.0,0.4,0.0,0.0,0.5,0.5,0.4,0.6,0.7,1.0,1.0,0.5,0.3,0.3,0.6,0.0,0.7,0.7,1.0,0.4,0.8
dialect-OrkneyShetlandDialect,0.0,0.0,0.3,0.3,0.0,0.0,0.1,0.1,0.0,0.1,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.3,0.3,0.1,0.6,0.0,0.2,0.5,0.5,0.7,0.5,0.5,0.9,1.0,0.3,0.2,0.4,0.5,0.0,0.6,0.7,1.0,0.4,0.6
dialect-OzarkDialect,0.0,0.0,0.1,0.1,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.2,0.2,0.1,0.0,0.0,0.1,0.2,0.1,0.6,0.0,0.2,0.5,0.5,0.4,0.6,0.7,1.0,0.8,0.2,0.4,0.3,0.2,0.1,0.7,0.8,1.0,0.1,0.5
dialect-PakistaniDialect,0.0,0.0,0.0,0.1,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.1,0.0,0.2,0.1,0.0,0.0,0.3,0.1,0.1,0.5,0.0,0.2,0.4,0.4,0.4,0.5,0.6,0.8,0.7,0.2,0.3,0.0,0.1,0.1,0.6,0.8,1.0,0.1,0.7
dialect-PhilippineDialect,0.0,0.0,0.2,0.0,0.0,0.0,0.2,0.1,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.0,0.0,0.2,0.3,0.1,0.6,0.0,0.3,0.3,0.7,0.6,0.5,0.7,1.0,0.7,0.4,0.4,0.3,0.4,0.1,0.7,0.8,1.0,0.2,0.7
dialect-RuralAfricanAmericanVernacular,0.1,0.0,0.2,0.1,0.0,0.0,0.2,0.1,0.1,0.1,0.0,0.1,0.2,0.0,0.1,0.2,0.3,0.1,0.2,0.0,0.1,0.1,0.1,0.1,0.7,0.0,0.2,0.3,0.5,0.6,0.6,0.6,1.0,0.9,0.5,0.2,0.3,0.4,0.2,0.7,0.9,1.0,0.2,0.7
dialect-ScottishDialect,0.1,0.0,0.2,0.2,0.0,0.0,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.2,0.1,0.0,0.0,0.1,0.1,0.1,0.5,0.0,0.0,0.6,0.5,0.5,0.5,0.6,1.0,0.7,0.4,0.2,0.3,0.5,0.1,0.6,0.8,1.0,0.1,0.6
dialect-SoutheastAmericanEnclaveDialect,0.0,0.1,0.2,0.1,0.0,0.1,0.2,0.1,0.0,0.1,0.0,0.0,0.1,0.1,0.1,0.2,0.0,0.1,0.1,0.0,0.0,0.1,0.1,0.1,0.5,0.0,0.1,0.6,0.6,0.5,0.5,0.6,0.9,1.0,0.4,0.3,0.5,0.2,0.2,0.6,0.8,1.0,0.1,0.6
dialect-SoutheastEnglandDialect,0.0,0.0,0.2,0.2,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.0,0.2,0.0,0.0,0.0,0.2,0.2,0.1,0.6,0.0,0.0,0.5,0.4,0.4,0.5,0.6,0.8,0.7,0.3,0.3,0.1,0.1,0.1,0.5,0.8,1.0,0.1,0.7
dialect-SouthwestEnglandDialect,0.0,0.1,0.1,0.2,0.0,0.0,0.1,0.1,0.0,0.1,0.0,0.0,0.0,0.1,0.1,0.2,0.3,0.3,0.1,0.0,0.0,0.3,0.3,0.2,0.6,0.0,0.2,0.4,0.5,0.4,0.6,0.6,0.9,0.9,0.3,0.3,0.2,0.4,0.1,0.7,0.7,1.0,0.1,0.6
dialect-SriLankanDialect,0.0,0.0,0.2,0.1,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.0,0.0,0.1,0.2,0.1,0.5,0.0,0.0,0.4,0.6,0.4,0.5,0.6,1.0,0.8,0.4,0.2,0.2,0.4,0.1,0.6,0.8,1.0,0.1,0.6
dialect-StHelenaDialect,0.0,0.0,0.2,0.3,0.0,0.0,0.1,0.3,0.0,0.1,0.0,0.0,0.0,0.0,0.1,0.1,0.3,0.2,0.1,0.0,0.0,0.3,0.2,0.2,0.5,0.0,0.3,0.5,0.5,0.4,0.5,0.6,1.0,0.8,0.4,0.2,0.4,0.5,0.1,0.7,0.9,1.0,0.3,0.7
dialect-TanzanianDialect,0.0,0.0,0.2,0.1,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.1,0.2,0.1,0.0,0.1,0.1,0.2,0.1,0.5,0.0,0.0,0.5,0.5,0.6,0.6,0.6,0.9,0.9,0.4,0.2,0.2,0.3,0.1,0.6,0.7,1.0,0.2,0.7
dialect-TristanDialect,0.0,0.0,0.3,0.2,0.0,0.0,0.1,0.1,0.0,0.1,0.0,0.0,0.1,0.2,0.0,0.3,0.1,0.1,0.1,0.0,0.0,0.0,0.3,0.1,0.6,0.0,0.1,0.3,0.6,0.5,0.6,0.7,0.9,0.9,0.4,0.3,0.3,0.4,0.1,0.7,0.8,1.0,0.3,0.6
dialect-UgandanDialect,0.0,0.0,0.2,0.1,0.0,0.0,0.1,0.1,0.0,0.0,0.1,0.0,0.0,0.2,0.1,0.2,0.0,0.1,0.1,0.0,0.0,0.2,0.2,0.1,0.5,0.0,0.0,0.6,0.4,0.3,0.6,0.7,0.9,0.7,0.3,0.4,0.0,0.2,0.1,0.6,0.8,1.0,0.2,0.6
dialect-WelshDialect,0.0,0.0,0.2,0.2,0.0,0.0,0.1,0.2,0.0,0.2,0.0,0.0,0.0,0.1,0.0,0.3,0.1,0.1,0.0,0.0,0.0,0.4,0.3,0.1,0.6,0.0,0.0,0.5,0.6,0.4,0.7,0.6,0.7,0.9,0.4,0.4,0.5,0.5,0.1,0.6,0.9,0.9,0.4,0.8
dialect-WhiteSouthAfricanDialect,0.0,0.0,0.3,0.2,0.0,0.0,0.1,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.2,0.1,0.0,0.0,0.1,0.3,0.0,0.6,0.0,0.0,0.3,0.6,0.5,0.5,0.6,0.8,0.7,0.3,0.3,0.0,0.2,0.1,0.6,0.8,1.0,0.1,0.6
dialect-WhiteZimbabweanDialect,0.0,0.0,0.1,0.1,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.2,0.0,0.1,0.1,0.0,0.0,0.2,0.3,0.1,0.5,0.1,0.0,0.5,0.6,0.6,0.6,0.5,1.0,0.8,0.4,0.3,0.1,0.2,0.1,0.6,0.9,1.0,0.1,0.5
